dteday,anomaly_score,top_cause,top_cause_value,top_cause_median,2nd_cause,weathersit,cnt
2011-01-26,-0.087,날씨등급,3.0,1.0,풍속,3,506
2011-10-29,-0.0857,날씨등급,3.0,1.0,풍속,3,627
2012-12-26,-0.0801,날씨등급,3.0,1.0,풍속,3,441
2011-02-19,-0.0766,풍속,0.507,0.181,습도,1,1635
2012-10-29,-0.0757,날씨등급,3.0,1.0,대여수,3,22
2011-12-07,-0.0562,날씨등급,3.0,1.0,습도,3,705
2011-04-16,-0.0522,날씨등급,3.0,1.0,풍속,3,795
2011-09-07,-0.0498,날씨등급,3.0,1.0,대여수,3,1996
2011-11-22,-0.0467,날씨등급,3.0,1.0,습도,3,1607
2012-02-11,-0.0465,날씨등급,3.0,1.0,풍속,3,2169
2011-01-22,-0.0463,기온,0.059,0.498,체감온도,1,981
2012-04-22,-0.0452,날씨등급,3.0,1.0,풍속,3,1027
2011-09-08,-0.045,날씨등급,3.0,1.0,대여수,3,1842
2012-02-12,-0.043,풍속,0.409,0.181,체감온도,1,1529
2011-09-06,-0.0424,날씨등급,3.0,1.0,풍속,3,2710
2011-03-31,-0.0397,날씨등급,3.0,1.0,습도,3,1685
2012-01-04,-0.0375,날씨등급,2.0,1.0,체감온도,2,2368
2011-01-09,-0.0366,풍속,0.362,0.181,체감온도,1,822
2011-08-27,-0.0356,풍속,0.376,0.181,대여수,2,1115
2011-03-10,-0.035,날씨등급,3.0,1.0,대여수,3,623
2011-01-23,-0.03,체감온도,0.099,0.487,기온,1,986
2011-11-16,-0.0291,날씨등급,3.0,1.0,습도,3,1817
2011-10-12,-0.0217,날씨등급,3.0,1.0,습도,3,2416
2011-12-06,-0.0207,날씨등급,3.0,1.0,습도,3,2594
2011-03-06,-0.0191,풍속,0.343,0.181,대여수,2,605
2012-03-09,-0.0167,풍속,0.415,0.181,습도,2,4569
2011-10-19,-0.0162,날씨등급,3.0,1.0,습도,3,2424
2012-10-02,-0.0158,날씨등급,3.0,1.0,습도,3,4639
2011-02-14,-0.0143,풍속,0.418,0.181,습도,1,1913
2011-01-08,-0.013,날씨등급,2.0,1.0,체감온도,2,959
2011-11-21,-0.0107,날씨등급,3.0,1.0,습도,3,2765
2012-01-03,-0.0107,풍속,0.366,0.181,체감온도,1,2236
2011-07-23,-0.0098,체감온도,0.804,0.487,기온,1,3285
2011-07-21,-0.007,체감온도,0.826,0.487,기온,2,3784
2012-07-21,-0.0059,날씨등급,3.0,1.0,습도,3,4459
2011-02-09,-0.0047,날씨등급,2.0,1.0,체감온도,2,1605
2011-01-27,-0.002,대여수,431.0,4548.0,습도,1,431
