instant,year,month,day,weekday,season,is_holiday,is_weekend,working,weather_code,t1,t2,hum,wind_speed,cnt,n_hours_observed
1,2015,1,4,Sunday,3.0,0.0,1.0,0,3.0,2.5,0.6,94.3,7.5,9234,24
2,2015,1,5,Monday,3.0,0.0,0.0,1,4.0,8.0,6.7,80.3,8.9,20372,24
3,2015,1,6,Tuesday,3.0,0.0,0.0,1,1.0,7.9,5.3,78.9,16.0,20613,24
4,2015,1,7,Wednesday,3.0,0.0,0.0,1,2.0,7.5,4.5,78.1,19.8,21064,23
5,2015,1,8,Thursday,3.0,0.0,0.0,1,7.0,9.8,7.8,79.3,20.5,15601,24
6,2015,1,9,Friday,3.0,0.0,0.0,1,7.0,12.7,12.3,74.9,32.9,22104,24
7,2015,1,10,Saturday,3.0,0.0,1.0,0,3.0,10.5,8.7,66.1,34.3,14709,24
8,2015,1,11,Sunday,3.0,0.0,1.0,0,1.0,6.6,2.5,67.6,26.6,14575,24
9,2015,1,12,Monday,3.0,0.0,0.0,1,7.0,11.1,9.8,76.6,28.2,17199,24
10,2015,1,13,Tuesday,3.0,0.0,0.0,1,7.0,8.6,6.1,75.8,21.2,24697,24
11,2015,1,14,Wednesday,3.0,0.0,0.0,1,2.0,6.5,2.5,67.1,25.8,23565,24
12,2015,1,15,Thursday,3.0,0.0,0.0,1,2.0,8.8,5.6,66.5,31.2,22968,24
13,2015,1,16,Friday,3.0,0.0,0.0,1,1.0,5.8,2.5,66.2,17.5,22663,24
14,2015,1,17,Saturday,3.0,0.0,1.0,0,1.0,3.8,0.6,75.1,13.6,15268,24
15,2015,1,18,Sunday,3.0,0.0,1.0,0,7.0,3.4,1.9,84.3,7.0,13199,24
16,2015,1,19,Monday,3.0,0.0,0.0,1,3.0,2.4,0.8,80.0,6.2,23034,24
17,2015,1,20,Tuesday,3.0,0.0,0.0,1,1.0,2.1,-0.2,82.0,9.2,23247,24
18,2015,1,21,Wednesday,3.0,0.0,0.0,1,4.0,3.0,-0.4,84.3,14.7,22782,24
19,2015,1,22,Thursday,3.0,0.0,0.0,1,3.0,2.6,1.0,74.5,6.7,23278,24
20,2015,1,23,Friday,3.0,0.0,0.0,1,1.0,2.7,-0.0,79.4,12.4,21892,24
21,2015,1,24,Saturday,3.0,0.0,1.0,0,1.0,5.7,2.3,72.7,18.1,17539,24
22,2015,1,25,Sunday,3.0,0.0,1.0,0,3.0,5.5,2.3,77.4,16.2,15094,24
23,2015,1,26,Monday,3.0,0.0,0.0,1,3.0,8.6,5.7,75.2,19.0,22710,24
24,2015,1,27,Tuesday,3.0,0.0,0.0,1,1.0,7.0,4.1,72.4,15.3,25000,24
25,2015,1,28,Wednesday,3.0,0.0,0.0,1,1.0,7.0,2.9,71.0,29.1,21536,24
26,2015,1,29,Thursday,3.0,0.0,0.0,1,2.0,3.8,-1.2,73.5,26.6,21275,24
27,2015,1,30,Friday,3.0,0.0,0.0,1,3.0,4.0,0.2,77.1,17.5,21171,24
28,2015,1,31,Saturday,3.0,0.0,1.0,0,7.0,3.4,-0.9,77.9,20.1,10250,24
29,2015,2,1,Sunday,3.0,0.0,1.0,0,3.0,3.8,-0.9,67.0,24.8,11305,24
30,2015,2,2,Monday,3.0,0.0,0.0,1,1.0,1.2,-2.4,64.9,12.6,21640,24
31,2015,2,3,Tuesday,3.0,0.0,0.0,1,3.0,2.2,-1.0,85.5,11.8,19869,24
32,2015,2,4,Wednesday,3.0,0.0,0.0,1,3.0,2.9,-0.5,80.7,14.1,21850,24
33,2015,2,5,Thursday,3.0,0.0,0.0,1,2.0,2.9,-0.9,78.1,16.0,21200,24
