variable,n_dummy_cols,permutation_importance_mean,std
t1,1,0.517149869901689,0.03563373160720519
hum,1,0.180632873362437,0.021081220885335605
wind_speed,1,0.10099624246045155,0.008620602363783767
weather_code,5,0.062346177636815076,0.008430345460442065
season,3,0.05199068134924488,0.007281563439631458
is_weekend,1,0.042218048513440895,0.00853266271414553
weekday,6,0.04047232703790189,0.007670250546125142
is_holiday,1,0.018307695750237774,0.004237722471518327
day,1,0.004569450133538985,0.0032547399620554904
month,1,-0.003619505834325117,0.0042145533113390156
