,gain_importance,permutation_importance_mean_R2_drop,permutation_importance_std
yr,0.4652763,0.5071919580300649,0.04484462503916643
temp,0.1473116,0.34471732179323833,0.038672375376886746
hum,0.037414964,0.10277553200721741,0.012343068683878506
season,0.13898966,0.06629934112230937,0.009220821581728166
windspeed,0.020596746,0.035345431168874106,0.010985209284868368
mnth,0.032243937,0.026627522706985474,0.006106284969011941
weathersit,0.048735783,0.021298182010650635,0.00457726661211754
atemp,0.056373846,0.016773949066797893,0.0060871217061344695
workingday,0.015332004,0.0049963176250457765,0.002479597641385311
weekday,0.019090755,0.00428888201713562,0.004197015841111127
holiday,0.018634513,0.002826966842015584,0.0015620345163866126
